sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
28,Western,Rajasthan,Jaipur,"Williams, Smith and Bates Memorial",War Memorial,2016,3,4.3,50,No,Monday,Natural,No,2.4,Afternoon
29,Central,Madhya Pradesh,Bhopal,"King, Kelley and Taylor Park",Hill Station,1566,2,3.7,10,Yes,Saturday,Cultural,No,2.6,Afternoon
30,Eastern,West Bengal,Kolkata,"Solis, Whitehead and Wilson Memorial",Museum,1969,3,4.2,30,Yes,Saturday,Historical,Yes,4.3,Winter
31,Southern,Tamil Nadu,Chennai,Hernandez-Colon Fort,Museum,1516,2,4,100,Yes,Wednesday,Environmental,No,4.5,Morning
32,Western,Rajasthan,Jaipur,Frank PLC Museum,Lake,1555,1,4.4,0,Yes,Friday,Architectural,No,3.2,Winter
33,Eastern,West Bengal,Kolkata,Welch-Snyder Fort,Zoo,1845,6,3.8,30,Yes,Wednesday,Cultural,Yes,2.9,Summer
34,Western,Gujarat,Ahmedabad,Williams and Sons Fort,Sanctuary,1614,6,3.8,100,Yes,Sunday,Environmental,No,4.9,Morning
35,Western,Maharashtra,Mumbai,Rivera-Smith Fort,Lake,1880,4,3.6,50,Yes,Sunday,Historical,No,3.4,Afternoon
36,Eastern,Odisha,Bhubaneswar,"Hill, Weber and Miller Museum",Theme Park,1633,4,4.7,10,Yes,Saturday,Historical,Yes,1.6,Summer
37,Northern,Punjab,Amritsar,Smith Inc Park,Fort,1693,2,3.7,50,Yes,Saturday,Natural,Yes,3.1,Morning
38,Northern,Punjab,Amritsar,Sanchez Group Memorial,Temple,1944,2,4.5,100,Yes,Sunday,Natural,No,1.2,Morning
39,Western,Gujarat,Ahmedabad,Burch and Sons Park,Museum,1538,2,3.8,30,No,Friday,Environmental,No,1.4,Morning
40,North-Eastern,Meghalaya,Shillong,"Waters, Marshall and Blankenship Memorial",Zoo,1587,3,3.9,20,Yes,Tuesday,Religious,No,3.9,Morning
41,North-Eastern,Assam,Guwahati,"Wood, Black and Mahoney Museum",Museum,1657,6,3.7,10,No,None,Natural,No,1.7,Evening
42,Southern,Karnataka,Bengaluru,"Fisher, Murray and Haley Memorial",War Memorial,1673,3,4.6,50,Yes,Monday,Historical,No,4.7,Evening
43,Southern,Karnataka,Bengaluru,Bailey-Boyd Memorial,Tomb,1874,6,3.7,100,Yes,Monday,Natural,No,2.5,Evening
44,North-Eastern,Meghalaya,Shillong,Scott Inc Park,Fort,1711,1,4.7,100,Yes,Wednesday,Environmental,No,0.6,Evening
45,North-Eastern,Assam,Guwahati,Bowers-Russell Fort,Lake,1743,2,3.7,10,Yes,Sunday,Architectural,No,1.9,Summer
46,Southern,Karnataka,Bengaluru,Williams Inc Museum,Lake,1532,2,4.5,100,Yes,None,Religious,No,0.2,Evening
47,North-Eastern,Assam,Guwahati,Chen-Johnston Memorial,Zoo,1615,6,3.7,50,Yes,Tuesday,Religious,No,0.1,Summer
48,Northern,Uttar Pradesh,Agra,Martin PLC Temple,Hill Station,1565,6,3.5,10,Yes,Monday,Religious,No,0.5,Evening
49,North-Eastern,Meghalaya,Shillong,Davis Inc Museum,Hill Station,1680,2,3.6,10,Yes,Friday,Cultural,No,1.2,Winter
50,North-Eastern,Assam,Guwahati,Lee-Rodgers Museum,Theme Park,1649,5,4.4,100,Yes,Friday,Historical,No,0.1,Evening
51,Western,Rajasthan,Jaipur,Cooper-Ayala Fort,Lake,1831,3,4.2,50,No,Thursday,Natural,Yes,0.8,Morning
52,North-Eastern,Assam,Guwahati,White LLC Memorial,Lake,1949,1,4.7,0,No,Tuesday,Historical,No,2.8,Afternoon
53,Western,Gujarat,Ahmedabad,Hughes LLC Fort,War Memorial,1597,5,3.9,100,Yes,Wednesday,Architectural,Yes,0.9,Morning
54,Western,Gujarat,Ahmedabad,Williams-Austin Memorial,Hill Station,1732,5,4.3,100,Yes,Tuesday,Natural,No,3.4,Morning
55,Central,Madhya Pradesh,Bhopal,Smith-Vargas Fort,Fort,1704,4,4.7,30,No,Wednesday,Architectural,No,4.4,Evening
56,Central,Madhya Pradesh,Bhopal,"Chavez, Burke and Hull Museum",Fort,1653,6,4.5,100,Yes,Thursday,Environmental,No,4.5,Afternoon
57,Northern,Punjab,Amritsar,Werner-Hayden Museum,Fort,1811,3,4.1,0,Yes,Thursday,Architectural,Yes,1.2,Morning
58,North-Eastern,Meghalaya,Shillong,Hoover-Zamora Memorial,Sanctuary,1889,2,4.9,50,Yes,Thursday,Natural,Yes,3.8,Evening
59,Central,Madhya Pradesh,Bhopal,"Raymond, Miller and Casey Temple",Temple,1921,3,4.3,0,Yes,Friday,Historical,Yes,0.7,Winter
60,Western,Maharashtra,Mumbai,Sherman Group Fort,Temple,2020,2,3.6,20,Yes,Monday,Religious,No,4.9,Evening
61,Southern,Kerala,Kochi,Simpson Ltd Museum,Hill Station,1702,3,4.8,20,Yes,Tuesday,Religious,Yes,0.3,Winter
62,North-Eastern,Meghalaya,Shillong,"Hull, Frye and Miller Museum",Lake,1510,3,4.8,100,Yes,Saturday,Architectural,No,0.3,Winter
63,Eastern,West Bengal,Kolkata,Roberts-Miller Temple,Sanctuary,1845,6,5,30,Yes,Sunday,Cultural,No,1.4,Winter
64,Eastern,West Bengal,Kolkata,Webb PLC Museum,War Memorial,1649,2,4.1,0,Yes,Tuesday,Environmental,No,4.8,Morning
65,Central,Madhya Pradesh,Bhopal,Hughes Inc Park,Lake,1552,5,4.4,10,Yes,Saturday,Historical,Yes,4.3,Morning
66,Western,Maharashtra,Mumbai,Kent LLC Museum,Museum,1565,3,3.9,30,Yes,Tuesday,Historical,No,3.4,Evening
67,Eastern,West Bengal,Kolkata,Leonard LLC Museum,Sanctuary,1517,2,4.9,30,Yes,Monday,Religious,Yes,4.1,Summer
68,Eastern,West Bengal,Kolkata,"Mercado, Dyer and Mathews Park",Tomb,1643,2,3.7,0,Yes,Thursday,Historical,No,4.8,Evening
69,Eastern,Odisha,Bhubaneswar,"Smith, Perry and Ramirez Temple",War Memorial,1884,4,3.6,20,Yes,Friday,Cultural,Yes,3.7,Evening
70,Eastern,Odisha,Bhubaneswar,"Baker, Smith and Willis Memorial",Zoo,1547,1,4,50,Yes,Friday,Environmental,No,1.6,Afternoon
71,Central,Madhya Pradesh,Bhopal,"Johnson, Clark and Singleton Museum",Zoo,1530,2,4.8,100,Yes,Monday,Natural,Yes,0.9,Winter
72,Western,Gujarat,Ahmedabad,Hall-Horn Temple,Theme Park,2018,2,4.9,10,Yes,Saturday,Natural,Yes,2.1,Morning
73,North-Eastern,Assam,Guwahati,Gray Inc Fort,Fort,1881,1,4.3,20,Yes,Thursday,Environmental,No,1.6,Winter
74,Northern,Uttar Pradesh,Agra,"Obrien, Montgomery and Barnett Fort",Hill Station,2018,1,4.8,50,Yes,Wednesday,Natural,Yes,2.7,Evening
75,Eastern,West Bengal,Kolkata,Tucker Group Park,War Memorial,1752,1,4.8,0,No,Tuesday,Environmental,No,1,Summer
76,Southern,Tamil Nadu,Chennai,"Frye, Hahn and Paul Fort",Theme Park,1763,6,4.2,0,Yes,Friday,Environmental,No,2.6,Morning
77,Northern,Delhi,Delhi,"Robinson, Bentley and Kelley Museum",Museum,1719,3,3.8,30,Yes,Friday,Natural,Yes,0.8,Evening
78,Central,Madhya Pradesh,Bhopal,Franklin-Esparza Temple,Tomb,1590,6,4.4,0,Yes,Monday,Environmental,Yes,3.7,Winter
79,Southern,Karnataka,Bengaluru,Clark-Lloyd Museum,Zoo,1700,1,4,50,Yes,Wednesday,Cultural,Yes,3.7,Winter
80,Central,Madhya Pradesh,Bhopal,Williams PLC Museum,Tomb,1838,1,4.2,30,Yes,Friday,Architectural,Yes,4.5,Evening
81,Western,Rajasthan,Jaipur,"Richardson, Rojas and Gomez Fort",Museum,1811,6,4.6,30,Yes,None,Historical,No,0.9,Summer
82,Central,Madhya Pradesh,Bhopal,Dunn and Sons Fort,War Memorial,1794,6,3.6,0,Yes,Saturday,Natural,Yes,1.8,Summer
83,Central,Madhya Pradesh,Bhopal,Morales Ltd Memorial,Lake,1938,2,4.7,50,Yes,None,Historical,No,1.3,Afternoon
84,Southern,Kerala,Kochi,"Murphy, Hensley and Johnson Fort",Fort,1947,6,3.5,30,Yes,Friday,Cultural,Yes,1.9,Summer
85,Western,Rajasthan,Jaipur,Ford-Diaz Museum,Fort,1565,5,4,0,Yes,Thursday,Architectural,No,0.5,Evening
86,Northern,Punjab,Amritsar,"Bennett, Lopez and Medina Museum",Fort,1623,2,4.3,100,Yes,Saturday,Environmental,No,3,Evening
87,Western,Maharashtra,Mumbai,"Sullivan, Crawford and Frazier Memorial",Sanctuary,1881,1,4,30,Yes,Monday,Historical,Yes,1.9,Summer
88,Northern,Uttar Pradesh,Agra,"Adams, Saunders and Morgan Temple",Zoo,1585,4,4.8,20,Yes,Tuesday,Architectural,No,2.3,Afternoon
89,Northern,Uttar Pradesh,Agra,Gonzalez-Ramsey Park,Temple,1972,4,4.7,10,Yes,Wednesday,Natural,No,0.2,Summer
90,Eastern,Odisha,Bhubaneswar,Bowman Ltd Museum,Hill Station,1552,5,4.4,50,Yes,Friday,Architectural,Yes,4.5,Afternoon
91,Eastern,West Bengal,Kolkata,Johnson Group Park,Lake,1605,1,4.5,100,Yes,Sunday,Environmental,Yes,2.9,Evening
92,Northern,Punjab,Amritsar,"Harper, Garza and Bass Memorial",Sanctuary,1913,5,3.6,30,No,Wednesday,Religious,Yes,1.8,Afternoon
93,Central,Madhya Pradesh,Bhopal,Hall Inc Museum,Fort,1942,3,4.7,30,Yes,Saturday,Religious,No,3.3,Summer
94,Northern,Delhi,Delhi,Williams-Cervantes Temple,Theme Park,2011,1,3.6,0,Yes,Monday,Cultural,Yes,2.6,Morning
95,North-Eastern,Assam,Guwahati,Washington-Knox Park,Zoo,1682,3,3.5,0,Yes,None,Natural,No,2.3,Summer
96,Central,Madhya Pradesh,Bhopal,"Rose, Carr and Armstrong Fort",Theme Park,1970,3,4,0,Yes,Sunday,Historical,Yes,2.2,Morning
97,Southern,Karnataka,Bengaluru,Wolfe Inc Memorial,Fort,2007,3,4,0,Yes,Friday,Cultural,No,3.8,Evening
98,Southern,Karnataka,Bengaluru,Johnson-Pratt Memorial,Hill Station,1676,6,3.8,30,Yes,Monday,Historical,Yes,0.3,Afternoon
99,Eastern,Odisha,Bhubaneswar,"Rowland, Tanner and Moore Temple",Theme Park,1570,5,4.6,10,Yes,Monday,Historical,No,1.6,Evening
100,Central,Madhya Pradesh,Bhopal,Liu Inc Museum,Theme Park,1937,5,4.2,0,Yes,Tuesday,Architectural,No,2.3,Winter
101,Central,Madhya Pradesh,Bhopal,"Nguyen, Taylor and Francis Temple",Temple,1856,6,3.8,50,Yes,Tuesday,Architectural,No,2,Summer
102,Western,Maharashtra,Mumbai,"Gray, Schaefer and Garcia Museum",Zoo,1989,1,4.8,10,Yes,Friday,Architectural,Yes,2,Summer
103,Northern,Delhi,Delhi,Dixon LLC Museum,Tomb,1991,5,4.4,50,Yes,Thursday,Historical,Yes,3.4,Afternoon
104,Southern,Tamil Nadu,Chennai,Shea Ltd Memorial,Hill Station,1759,3,4.9,0,Yes,Friday,Religious,No,2.9,Winter
105,Eastern,West Bengal,Kolkata,Mckee Inc Memorial,Zoo,1636,2,4.9,20,Yes,Tuesday,Historical,No,1.7,Summer
106,North-Eastern,Assam,Guwahati,"Price, Page and Gay Temple",Theme Park,1722,3,4.6,10,Yes,Monday,Environmental,No,1.7,Afternoon
107,Central,Madhya Pradesh,Bhopal,Mitchell LLC Museum,Lake,1683,6,4.3,50,Yes,Wednesday,Environmental,No,3.8,Summer
108,Western,Maharashtra,Mumbai,Anderson-Miller Temple,Hill Station,1893,6,4.5,10,Yes,None,Cultural,No,1.8,Summer
109,Western,Maharashtra,Mumbai,Lowery Inc Park,Zoo,1989,6,5,100,Yes,Friday,Historical,Yes,1.4,Evening
110,Central,Madhya Pradesh,Bhopal,Rivera LLC Park,Temple,1531,3,4.8,100,Yes,None,Historical,Yes,0.9,Winter
111,Eastern,Odisha,Bhubaneswar,Riley-Manning Park,Fort,1560,5,3.5,30,Yes,Sunday,Environmental,No,2.7,Evening
112,Northern,Uttar Pradesh,Agra,Dixon PLC Museum,Theme Park,1872,6,3.5,100,Yes,None,Natural,No,0.2,Evening
113,Eastern,West Bengal,Kolkata,Kim and Sons Temple,Zoo,1948,4,4.4,20,Yes,Sunday,Architectural,No,3.8,Summer
114,Southern,Karnataka,Bengaluru,Carpenter-Wallace Fort,Temple,1760,6,3.7,50,Yes,Wednesday,Environmental,Yes,4.6,Evening
115,Southern,Karnataka,Bengaluru,Baker PLC Temple,War Memorial,1862,1,3.6,0,Yes,Thursday,Environmental,No,4.9,Afternoon
116,North-Eastern,Meghalaya,Shillong,Fitzgerald-Mills Park,War Memorial,1806,1,4.1,50,Yes,None,Architectural,Yes,2.8,Winter
117,Eastern,West Bengal,Kolkata,"Butler, Cook and Lopez Temple",Lake,1805,3,4.8,20,Yes,Tuesday,Natural,No,2.2,Morning
118,Eastern,West Bengal,Kolkata,Padilla Inc Park,Sanctuary,1639,3,3.7,20,Yes,Thursday,Historical,No,3.5,Afternoon
119,Northern,Uttar Pradesh,Agra,"Pennington, Williamson and Gilbert Temple",Fort,1650,5,4.5,10,Yes,Monday,Environmental,Yes,3.3,Afternoon
120,Western,Maharashtra,Mumbai,"Diaz, Wilson and Thomas Park",Tomb,1530,4,4.2,30,No,Saturday,Architectural,No,1.7,Morning
121,Northern,Delhi,Delhi,Glenn Inc Park,Fort,1958,2,4,50,Yes,Friday,Natural,No,2,Afternoon
122,Central,Madhya Pradesh,Bhopal,"Moody, Graves and Donovan Museum",War Memorial,1826,2,5,10,Yes,None,Architectural,No,1,Evening
123,North-Eastern,Assam,Guwahati,Frazier-Frye Park,War Memorial,1502,3,3.6,0,Yes,None,Architectural,No,2.4,Morning
124,North-Eastern,Meghalaya,Shillong,"Finley, Johnson and Vasquez Fort",War Memorial,1651,1,4.4,10,Yes,Monday,Religious,Yes,2.2,Afternoon
125,Southern,Kerala,Kochi,"Joseph, Burnett and Hernandez Temple",Sanctuary,1772,1,4.4,10,Yes,Tuesday,Natural,Yes,4.1,Summer
126,Central,Madhya Pradesh,Bhopal,Farley and Sons Memorial,Hill Station,1960,6,4.5,30,Yes,Saturday,Natural,Yes,4.6,Morning
127,Southern,Karnataka,Bengaluru,Harris-Galvan Museum,Theme Park,1928,3,4.7,20,Yes,Monday,Natural,Yes,1.5,Evening
128,Eastern,Odisha,Bhubaneswar,"Bonilla, Flores and Wright Museum",Museum,1782,6,3.5,30,Yes,Thursday,Historical,Yes,3.5,Evening
129,Central,Madhya Pradesh,Bhopal,Boyle Ltd Fort,Museum,1840,5,4.4,30,No,Monday,Historical,No,3.8,Summer
130,Central,Madhya Pradesh,Bhopal,"Ware, Nelson and Downs Museum",Sanctuary,1771,1,4.6,50,Yes,Monday,Historical,Yes,1.8,Afternoon
131,Central,Madhya Pradesh,Bhopal,Hutchinson and Sons Memorial,War Memorial,1614,5,4.1,20,Yes,Saturday,Natural,Yes,2,Afternoon
132,Western,Gujarat,Ahmedabad,Cohen-Young Memorial,Hill Station,1537,4,4.9,10,Yes,Monday,Cultural,Yes,4.1,Morning
133,North-Eastern,Assam,Guwahati,"Brown, Wood and Miller Park",Lake,1790,4,3.9,30,Yes,None,Natural,No,1.8,Winter
134,Western,Rajasthan,Jaipur,Morse LLC Memorial,Fort,1774,1,4.3,20,Yes,Friday,Architectural,Yes,3.6,Winter
135,Central,Madhya Pradesh,Bhopal,"Evans, Diaz and Sutton Park",Lake,1879,5,4.8,100,Yes,Tuesday,Historical,No,1.3,Afternoon
136,North-Eastern,Assam,Guwahati,"Anthony, Brown and Myers Memorial",Zoo,1922,2,5,100,Yes,Wednesday,Historical,Yes,4.6,Summer
137,Eastern,West Bengal,Kolkata,Huerta-Jones Park,Tomb,1845,2,4.3,30,Yes,Monday,Architectural,No,4.6,Evening
138,Southern,Kerala,Kochi,Li and Sons Memorial,Lake,1779,2,4.4,20,Yes,Friday,Environmental,No,3.8,Afternoon
139,Western,Maharashtra,Mumbai,Brown LLC Fort,Tomb,1906,1,5,100,Yes,None,Cultural,Yes,1.9,Summer
140,Southern,Kerala,Kochi,Wells Ltd Memorial,Museum,1806,3,4.1,0,Yes,Sunday,Architectural,No,3.5,Evening
141,Southern,Karnataka,Bengaluru,Gonzalez and Sons Memorial,Hill Station,1735,6,4,0,Yes,Friday,Natural,No,2.4,Summer
142,Eastern,West Bengal,Kolkata,Bradley PLC Temple,Fort,1685,3,4.1,50,Yes,Saturday,Historical,Yes,1.8,Evening
143,Northern,Punjab,Amritsar,Hanson-Adkins Museum,Temple,1780,3,3.6,100,Yes,None,Architectural,No,3.9,Afternoon
144,Western,Rajasthan,Jaipur,"Williams, Williams and Cooper Memorial",War Memorial,1878,6,3.5,10,Yes,Friday,Cultural,No,4.8,Morning
145,Northern,Uttar Pradesh,Agra,Miller-Richardson Temple,Lake,1633,1,3.5,20,Yes,Sunday,Cultural,No,3.7,Summer
146,Central,Madhya Pradesh,Bhopal,Armstrong-Underwood Temple,Hill Station,1518,2,4.3,10,No,Tuesday,Cultural,No,1.1,Morning
147,Northern,Uttar Pradesh,Agra,Garrett PLC Fort,Zoo,1838,1,4.7,100,Yes,Saturday,Environmental,No,2.7,Morning
148,Eastern,West Bengal,Kolkata,Lee-Bailey Fort,Zoo,1976,2,3.9,0,Yes,Tuesday,Natural,Yes,4.9,Summer
149,North-Eastern,Assam,Guwahati,"Richard, Johnston and Cruz Memorial",Tomb,1705,6,5,0,Yes,Thursday,Architectural,No,0.2,Evening
150,Central,Madhya Pradesh,Bhopal,"Marsh, Todd and Evans Memorial",War Memorial,1562,1,4.8,0,Yes,Sunday,Religious,Yes,3.8,Summer
151,Southern,Tamil Nadu,Chennai,Johnson-Smith Memorial,Sanctuary,1683,5,3.9,0,Yes,Monday,Historical,No,1.1,Afternoon
152,Northern,Delhi,Delhi,Hale-Young Memorial,Tomb,1720,4,3.9,10,Yes,Wednesday,Environmental,Yes,1.8,Morning
153,Northern,Delhi,Delhi,Brady and Sons Memorial,Hill Station,1835,3,4.1,10,Yes,None,Natural,No,2.8,Evening
154,Central,Madhya Pradesh,Bhopal,"Grant, Shea and Carey Memorial",Temple,1912,5,4.5,0,Yes,Monday,Environmental,Yes,2.8,Winter
155,North-Eastern,Meghalaya,Shillong,Charles Ltd Fort,Tomb,1974,6,4.8,50,Yes,Monday,Environmental,Yes,3,Winter
156,Eastern,Odisha,Bhubaneswar,"Roberts, Reed and Sanchez Memorial",Sanctuary,1529,3,3.5,50,Yes,Tuesday,Religious,Yes,3.3,Morning
157,Southern,Kerala,Kochi,"Gentry, Davidson and Gilmore Museum",Theme Park,1514,5,3.9,100,Yes,Tuesday,Historical,Yes,2.4,Winter
158,Northern,Uttar Pradesh,Agra,"Wood, Mercado and Lambert Park",Theme Park,1775,1,4.1,100,Yes,Monday,Environmental,Yes,4.8,Afternoon
159,Western,Rajasthan,Jaipur,"Lopez, Robinson and Carson Memorial",Theme Park,1979,3,3.9,20,Yes,Friday,Natural,Yes,2.4,Afternoon
160,Eastern,West Bengal,Kolkata,"Carpenter, Garcia and Barnes Temple",Museum,1747,3,4.6,100,Yes,Monday,Religious,No,3.2,Winter
161,North-Eastern,Assam,Guwahati,Taylor PLC Fort,Hill Station,1545,6,5,10,Yes,Thursday,Cultural,Yes,2.7,Afternoon
162,Northern,Uttar Pradesh,Agra,Turner Group Fort,Museum,1769,5,4.8,100,Yes,Wednesday,Religious,No,2.2,Winter
163,Western,Maharashtra,Mumbai,Cordova-Martinez Memorial,Museum,1551,2,4.1,50,Yes,Thursday,Natural,No,3.5,Winter
164,Western,Gujarat,Ahmedabad,"Holland, Davis and Hudson Park",War Memorial,1926,1,4.8,0,Yes,Saturday,Historical,No,2.1,Winter
165,Northern,Uttar Pradesh,Agra,Bowen-Long Memorial,Temple,1943,5,3.5,30,Yes,Thursday,Architectural,No,3.3,Winter
166,Central,Madhya Pradesh,Bhopal,Pruitt-Andrews Temple,War Memorial,1503,1,4.8,10,Yes,Saturday,Cultural,No,1.4,Morning
167,Southern,Kerala,Kochi,Cruz-Meyer Museum,Temple,1968,2,3.5,10,Yes,Monday,Environmental,Yes,3.7,Summer
168,Eastern,West Bengal,Kolkata,Thomas PLC Fort,Fort,1644,1,4.6,100,Yes,Thursday,Environmental,No,3.2,Morning
169,North-Eastern,Meghalaya,Shillong,Roberts PLC Memorial,Temple,1789,1,4,30,Yes,None,Natural,Yes,0.6,Afternoon
170,Northern,Uttar Pradesh,Agra,Smith-Myers Fort,Zoo,1985,2,3.6,10,Yes,Friday,Natural,Yes,2.6,Morning
171,Western,Maharashtra,Mumbai,Hernandez and Sons Fort,Lake,2020,6,4.2,50,Yes,Tuesday,Cultural,No,0.4,Morning
172,Northern,Punjab,Amritsar,"Powers, Tucker and Allen Fort",War Memorial,1668,2,4.7,20,No,Tuesday,Cultural,No,3.2,Evening
173,North-Eastern,Assam,Guwahati,"Walker, Murphy and Hancock Museum",Sanctuary,1513,3,4.4,100,Yes,Sunday,Religious,No,2.5,Afternoon
174,North-Eastern,Assam,Guwahati,Tapia LLC Museum,Lake,1537,4,4.3,20,Yes,Wednesday,Natural,No,3.3,Summer
175,Eastern,Odisha,Bhubaneswar,Martinez-Watson Memorial,Hill Station,1585,6,3.6,30,Yes,Saturday,Environmental,No,1.1,Afternoon
176,Central,Madhya Pradesh,Bhopal,"Kennedy, Melton and Dawson Park",Tomb,1927,6,3.6,100,Yes,Sunday,Cultural,No,4.5,Afternoon
177,Central,Madhya Pradesh,Bhopal,Schmidt Inc Museum,War Memorial,1828,1,4.5,0,Yes,Thursday,Environmental,No,5,Evening
178,Western,Maharashtra,Mumbai,Carrillo-Simmons Museum,Hill Station,1970,6,3.8,0,Yes,Tuesday,Cultural,Yes,1.4,Afternoon
179,North-Eastern,Assam,Guwahati,White Ltd Fort,Theme Park,1515,1,4.1,30,Yes,Saturday,Architectural,No,1.7,Evening
180,Northern,Uttar Pradesh,Agra,Alexander Ltd Fort,Sanctuary,1577,1,4.6,30,Yes,Wednesday,Natural,No,2.3,Winter
181,Southern,Kerala,Kochi,Walters-Parsons Museum,Sanctuary,1667,4,4.6,30,Yes,None,Cultural,Yes,1,Summer
182,Southern,Kerala,Kochi,Russo-Mercado Temple,Tomb,1558,6,4.2,100,Yes,Friday,Architectural,Yes,2.9,Summer
183,Southern,Karnataka,Bengaluru,Clark-Guzman Fort,Theme Park,1799,3,3.9,100,Yes,Wednesday,Natural,No,1.5,Morning
184,Western,Maharashtra,Mumbai,"Sparks, Lopez and Burke Museum",Lake,1609,2,4.4,100,Yes,Thursday,Historical,Yes,4.3,Winter
185,Western,Rajasthan,Jaipur,Moore-Richardson Temple,Museum,1937,6,4.8,0,Yes,Thursday,Historical,Yes,2.4,Afternoon
186,Southern,Tamil Nadu,Chennai,"Castro, Edwards and Rosario Museum",Theme Park,1628,4,4.9,100,Yes,Friday,Historical,No,2.6,Afternoon
187,Southern,Kerala,Kochi,Weber and Sons Museum,Museum,1700,6,3.9,0,Yes,Monday,Religious,Yes,0.8,Winter
188,Central,Madhya Pradesh,Bhopal,"Rose, Reeves and Jackson Memorial",Zoo,1898,1,4.5,30,Yes,Thursday,Architectural,Yes,3.9,Afternoon
189,Southern,Tamil Nadu,Chennai,"Smith, Martinez and Nash Memorial",Hill Station,1844,5,3.9,20,Yes,Thursday,Natural,No,0.4,Evening
